test line,ground,predicted,mvs
0,0,3,{'votes/confidence': '3/4'}
1,0,1,{'votes/confidence': '5/6'}
2,0,2,{'votes/confidence': '5/8'}
3,0,0,{'votes/confidence': '2/5'}
4,0,0,{'votes/confidence': '5/6'}
5,0,2,{'votes/confidence': '4/4'}
6,0,2,{'votes/confidence': '5/5'}
7,0,2,{'votes/confidence': '6/6'}
8,0,0,{'votes/confidence': '5/7'}
9,0,3,{'votes/confidence': '5/8'}
10,0,2,{'votes/confidence': '4/7'}
11,0,0,{'votes/confidence': '7/7'}
12,0,2,{'votes/confidence': '7/8'}
13,0,0,{'votes/confidence': '5/6'}
14,0,0,{'votes/confidence': '3/3'}
15,0,2,{'votes/confidence': '3/4'}
16,0,3,{'votes/confidence': '3/5'}
17,0,3,{'votes/confidence': 0.51366126537323}
18,0,0,{'votes/confidence': '5/5'}
19,0,0,{'votes/confidence': '3/4'}
20,0,0,{'votes/confidence': 0.9806661009788513}
21,0,2,{'votes/confidence': '3/4'}
22,0,3,{'votes/confidence': '2/2'}
23,0,3,{'votes/confidence': '1/1'}
24,0,0,{'votes/confidence': '3/5'}
25,0,2,{'votes/confidence': '3/5'}
26,0,3,{'votes/confidence': '3/5'}
27,0,3,{'votes/confidence': 0.7047105431556702}
28,0,0,{'votes/confidence': 0.5030214190483093}
29,0,3,{'votes/confidence': '5/5'}
30,0,3,{'votes/confidence': '5/5'}
31,0,2,{'votes/confidence': '2/4'}
32,0,1,{'votes/confidence': '2/3'}
33,0,1,{'votes/confidence': 0.595077395439148}
34,0,0,{'votes/confidence': 0.921043872833252}
35,0,0,{'votes/confidence': '5/5'}
36,0,2,{'votes/confidence': '5/6'}
37,0,2,{'votes/confidence': '6/7'}
38,0,3,{'votes/confidence': '2/3'}
39,0,3,{'votes/confidence': '4/7'}
40,0,0,{'votes/confidence': '8/8'}
41,0,2,{'votes/confidence': '5/8'}
42,0,0,{'votes/confidence': '7/7'}
43,0,0,{'votes/confidence': '7/7'}
44,0,0,{'votes/confidence': '3/4'}
45,0,0,{'votes/confidence': '6/6'}
46,0,0,{'votes/confidence': '4/6'}
47,0,2,{'votes/confidence': '5/6'}
48,0,1,{'votes/confidence': '5/6'}
49,0,0,{'votes/confidence': '3/4'}
50,0,0,{'votes/confidence': '7/7'}
51,0,0,{'votes/confidence': '1/1'}
52,0,0,{'votes/confidence': '3/6'}
53,0,0,{'votes/confidence': '4/4'}
54,0,3,{'votes/confidence': 0.6130733489990234}
55,0,2,{'votes/confidence': '4/6'}
56,0,1,{'votes/confidence': '2/3'}
57,0,0,{'votes/confidence': 0.5407819747924805}
58,0,3,{'votes/confidence': '4/5'}
59,0,1,{'votes/confidence': '3/6'}
60,0,0,{'votes/confidence': 0.5829674005508423}
61,0,1,{'votes/confidence': 0.7603274583816528}
62,0,3,{'votes/confidence': '3/5'}
63,0,3,{'votes/confidence': '5/6'}
64,0,0,{'votes/confidence': '4/5'}
65,0,3,{'votes/confidence': '3/5'}
66,0,3,{'votes/confidence': '3/5'}
67,0,0,{'votes/confidence': 0.828515887260437}
68,0,2,{'votes/confidence': 0.7048065662384033}
69,0,2,{'votes/confidence': '4/6'}
70,0,2,{'votes/confidence': '6/7'}
71,0,3,{'votes/confidence': '2/4'}
72,0,3,{'votes/confidence': '3/6'}
73,0,3,{'votes/confidence': '3/5'}
74,0,0,{'votes/confidence': '5/7'}
75,0,2,{'votes/confidence': '4/6'}
76,0,3,{'votes/confidence': '5/6'}
77,0,2,{'votes/confidence': '3/6'}
78,0,0,{'votes/confidence': '4/4'}
79,0,1,{'votes/confidence': 0.9926508069038391}
80,0,3,{'votes/confidence': '3/5'}
81,0,0,{'votes/confidence': '5/5'}
82,0,3,{'votes/confidence': '3/6'}
83,0,3,{'votes/confidence': '4/6'}
84,0,2,{'votes/confidence': 0.902336597442627}
85,0,2,{'votes/confidence': '5/7'}
86,0,0,{'votes/confidence': '6/8'}
87,0,3,{'votes/confidence': '3/7'}
88,0,3,{'votes/confidence': '4/5'}
89,0,1,{'votes/confidence': 0.9886443614959717}
90,0,0,{'votes/confidence': '5/5'}
91,0,3,{'votes/confidence': '4/6'}
92,0,2,{'votes/confidence': '3/5'}
93,0,0,{'votes/confidence': '3/4'}
94,0,3,{'votes/confidence': 0.5522513389587402}
95,0,0,{'votes/confidence': 0.898726224899292}
96,0,0,{'votes/confidence': '4/5'}
97,0,0,{'votes/confidence': '3/7'}
98,0,3,{'votes/confidence': '3/4'}
99,0,2,{'votes/confidence': '6/7'}
100,0,0,{'votes/confidence': '4/7'}
101,0,2,{'votes/confidence': '5/6'}
102,0,0,{'votes/confidence': 0.9849358201026917}
103,0,0,{'votes/confidence': '5/6'}
104,0,3,{'votes/confidence': '3/4'}
105,0,1,{'votes/confidence': '5/6'}
106,0,1,{'votes/confidence': '3/5'}
107,0,0,{'votes/confidence': '3/7'}
108,0,3,{'votes/confidence': 0.7123804688453674}
109,0,1,{'votes/confidence': '4/6'}
110,0,0,{'votes/confidence': '3/5'}
111,0,0,{'votes/confidence': '4/6'}
112,0,3,{'votes/confidence': '4/5'}
113,0,3,{'votes/confidence': 0.46112242341041565}
114,0,2,{'votes/confidence': '7/7'}
115,0,3,{'votes/confidence': '5/7'}
116,0,3,{'votes/confidence': '6/8'}
117,0,0,{'votes/confidence': '3/5'}
118,0,3,{'votes/confidence': '2/4'}
119,0,1,{'votes/confidence': 0.9792439341545105}
120,0,2,{'votes/confidence': '2/4'}
121,0,2,{'votes/confidence': '4/5'}
122,0,2,{'votes/confidence': '3/5'}
123,0,0,{'votes/confidence': '2/2'}
124,0,2,{'votes/confidence': '3/6'}
125,0,0,{'votes/confidence': '4/5'}
126,0,0,{'votes/confidence': '3/5'}
127,0,2,{'votes/confidence': '4/7'}
128,0,1,{'votes/confidence': '3/5'}
129,0,3,{'votes/confidence': '4/5'}
130,0,0,{'votes/confidence': 0.6866689920425415}
131,0,1,{'votes/confidence': '3/6'}
132,0,0,{'votes/confidence': '6/6'}
133,0,2,{'votes/confidence': 0.7527996897697449}
134,1,0,{'votes/confidence': '2/4'}
135,1,1,{'votes/confidence': '5/5'}
136,1,2,{'votes/confidence': '3/5'}
137,1,3,{'votes/confidence': '3/4'}
138,1,1,{'votes/confidence': '4/8'}
139,1,2,{'votes/confidence': 0.517591118812561}
140,1,1,{'votes/confidence': '3/3'}
141,1,0,{'votes/confidence': '3/4'}
142,1,1,{'votes/confidence': '2/3'}
143,1,3,{'votes/confidence': '4/5'}
144,1,1,{'votes/confidence': '4/4'}
145,1,1,{'votes/confidence': '3/4'}
146,1,2,{'votes/confidence': '2/3'}
147,1,1,{'votes/confidence': '4/6'}
148,1,1,{'votes/confidence': '5/7'}
149,1,3,{'votes/confidence': '4/7'}
150,1,3,{'votes/confidence': '1/1'}
151,1,1,{'votes/confidence': 0.6334195733070374}
152,1,3,{'votes/confidence': 0.6664993762969971}
153,1,2,{'votes/confidence': '3/5'}
154,1,3,{'votes/confidence': '2/3'}
155,1,3,{'votes/confidence': '5/6'}
156,1,3,{'votes/confidence': '4/6'}
157,1,1,{'votes/confidence': '4/6'}
158,1,1,{'votes/confidence': '6/6'}
159,1,1,{'votes/confidence': '5/5'}
160,1,2,{'votes/confidence': '4/4'}
161,1,2,{'votes/confidence': '2/3'}
162,1,1,{'votes/confidence': 0.8316559195518494}
163,1,1,{'votes/confidence': '3/5'}
164,1,1,{'votes/confidence': 0.9315704107284546}
165,1,1,{'votes/confidence': '6/6'}
166,1,3,{'votes/confidence': 0.8181822896003723}
167,1,1,{'votes/confidence': 0.8678989410400391}
168,1,1,{'votes/confidence': 0.6526033282279968}
169,1,3,{'votes/confidence': 0.5771543383598328}
170,1,3,{'votes/confidence': 0.6874499320983887}
171,1,1,{'votes/confidence': '6/6'}
172,1,2,{'votes/confidence': '4/5'}
173,1,3,{'votes/confidence': 0.5709359049797058}
174,1,3,{'votes/confidence': '3/4'}
175,1,1,{'votes/confidence': '3/5'}
176,1,3,{'votes/confidence': '2/4'}
177,1,1,{'votes/confidence': '2/4'}
178,1,0,{'votes/confidence': '2/4'}
179,1,0,{'votes/confidence': 0.7605811953544617}
180,1,1,{'votes/confidence': '5/5'}
181,1,3,{'votes/confidence': '2/3'}
182,1,2,{'votes/confidence': '3/6'}
183,1,0,{'votes/confidence': '3/5'}
184,1,2,{'votes/confidence': '4/7'}
185,1,1,{'votes/confidence': '3/6'}
186,1,0,{'votes/confidence': '2/2'}
187,1,1,{'votes/confidence': 0.7276667952537537}
188,1,2,{'votes/confidence': '4/7'}
189,1,0,{'votes/confidence': '6/6'}
190,1,2,{'votes/confidence': '4/5'}
191,1,2,{'votes/confidence': '4/5'}
192,1,1,{'votes/confidence': '2/2'}
193,1,3,{'votes/confidence': '4/4'}
194,1,3,{'votes/confidence': '3/4'}
195,1,1,{'votes/confidence': 0.9919067621231079}
196,1,0,{'votes/confidence': '4/5'}
197,1,3,{'votes/confidence': '3/5'}
198,1,1,{'votes/confidence': '3/5'}
199,1,3,{'votes/confidence': '4/5'}
200,1,1,{'votes/confidence': '3/3'}
201,1,2,{'votes/confidence': '4/5'}
202,1,3,{'votes/confidence': '4/6'}
203,1,3,{'votes/confidence': '3/5'}
204,1,3,{'votes/confidence': '3/5'}
205,1,3,{'votes/confidence': 0.7080954313278198}
206,1,0,{'votes/confidence': '6/8'}
207,1,3,{'votes/confidence': '3/5'}
208,1,1,{'votes/confidence': 0.6856316924095154}
209,1,3,{'votes/confidence': '4/6'}
210,1,1,{'votes/confidence': '3/6'}
211,1,0,{'votes/confidence': '4/6'}
212,1,1,{'votes/confidence': '5/6'}
213,1,3,{'votes/confidence': '1/1'}
214,1,1,{'votes/confidence': '4/4'}
215,1,1,{'votes/confidence': '4/4'}
216,1,1,{'votes/confidence': 0.9999992847442627}
217,1,3,{'votes/confidence': 0.5172038674354553}
218,1,1,{'votes/confidence': 0.9867933392524719}
219,1,1,{'votes/confidence': 0.999946117401123}
220,1,1,{'votes/confidence': '2/3'}
221,1,1,{'votes/confidence': '4/6'}
222,1,1,{'votes/confidence': '3/3'}
223,1,0,{'votes/confidence': '5/6'}
224,1,2,{'votes/confidence': '4/6'}
225,1,2,{'votes/confidence': '4/6'}
226,1,2,{'votes/confidence': '4/8'}
227,1,2,{'votes/confidence': '3/6'}
228,1,0,{'votes/confidence': '1/1'}
229,1,1,{'votes/confidence': 0.7709212303161621}
230,1,3,{'votes/confidence': '2/4'}
231,1,1,{'votes/confidence': '4/4'}
232,1,1,{'votes/confidence': '4/4'}
233,1,1,{'votes/confidence': '6/6'}
234,1,1,{'votes/confidence': '3/4'}
235,1,3,{'votes/confidence': '4/6'}
236,1,3,{'votes/confidence': '1/1'}
237,1,0,{'votes/confidence': '3/5'}
238,1,0,{'votes/confidence': '2/3'}
239,1,2,{'votes/confidence': '3/4'}
240,1,0,{'votes/confidence': '5/7'}
241,1,1,{'votes/confidence': '3/4'}
242,1,2,{'votes/confidence': '4/8'}
243,1,1,{'votes/confidence': '3/5'}
244,1,3,{'votes/confidence': '3/6'}
245,1,1,{'votes/confidence': '3/4'}
246,1,1,{'votes/confidence': '3/5'}
247,1,3,{'votes/confidence': '5/7'}
248,1,3,{'votes/confidence': '3/6'}
249,2,2,{'votes/confidence': '6/6'}
250,2,3,{'votes/confidence': '3/6'}
251,2,3,{'votes/confidence': '5/6'}
252,2,0,{'votes/confidence': '5/7'}
253,2,3,{'votes/confidence': '6/7'}
254,2,3,{'votes/confidence': '4/6'}
255,2,2,{'votes/confidence': '3/5'}
256,2,2,{'votes/confidence': '7/7'}
