test line,ground,predicted,mvs
0,0,1,"{'votes': '4/6', 'highest_confidence': 0.9997206330299377}"
1,0,1,"{'votes': '3/5', 'highest_confidence': 0.8072033524513245}"
2,0,0,"{'votes': '7/7', 'highest_confidence': 0.9877254366874695}"
3,0,0,"{'votes': '3/6', 'highest_confidence': 0.8408972024917603}"
4,0,0,"{'votes': '6/6', 'highest_confidence': 0.991470992565155}"
5,0,0,"{'votes': '3/5', 'highest_confidence': 0.9713352918624878}"
6,0,0,"{'votes': '6/6', 'highest_confidence': 0.8925725817680359}"
7,0,0,"{'votes': '4/7', 'highest_confidence': 0.9564383625984192}"
8,0,1,"{'votes': '4/5', 'highest_confidence': 0.8916527032852173}"
9,0,0,"{'votes': '4/4', 'highest_confidence': 0.9892325401306152}"
10,0,1,"{'votes': '4/5', 'highest_confidence': 0.9587233662605286}"
11,0,0,"{'votes': '3/4', 'highest_confidence': 0.9961726069450378}"
12,0,1,"{'votes': '4/7', 'highest_confidence': 0.9867973327636719}"
13,0,0,"{'votes': '3/5', 'highest_confidence': 0.9955778121948242}"
14,0,0,"{'votes': '6/7', 'highest_confidence': 0.9974098801612854}"
15,0,0,"{'votes': '5/6', 'highest_confidence': 0.9979242086410522}"
16,0,0,"{'votes': '2/2', 'highest_confidence': 0.9997801184654236}"
17,0,0,"{'votes': '3/6', 'highest_confidence': 0.9960289001464844}"
18,0,0,"{'votes': '4/7', 'highest_confidence': 0.8831775784492493}"
19,0,0,"{'votes': '5/7', 'highest_confidence': 0.9907131791114807}"
20,0,1,"{'votes': '3/5', 'highest_confidence': 0.9424369931221008}"
21,0,0,"{'votes': '7/7', 'highest_confidence': 0.9804275631904602}"
22,0,0,"{'votes': '6/6', 'highest_confidence': 0.997112512588501}"
23,0,0,"{'votes': '3/6', 'highest_confidence': 0.9949500560760498}"
24,0,0,"{'votes': '4/5', 'highest_confidence': 0.8332845568656921}"
25,0,0,"{'votes': '5/6', 'highest_confidence': 0.9996222257614136}"
26,0,0,"{'votes': '5/5', 'highest_confidence': 0.9989700317382812}"
27,0,1,"{'votes': '3/5', 'highest_confidence': 0.9112869501113892}"
28,0,0,"{'votes': '6/6', 'highest_confidence': 0.9986706972122192}"
29,0,0,"{'votes': '3/6', 'highest_confidence': 0.9963185787200928}"
30,0,0,"{'votes': '3/4', 'highest_confidence': 0.9922609925270081}"
31,0,1,"{'votes': '3/4', 'highest_confidence': 0.997190535068512}"
32,0,1,"{'votes': '5/5', 'highest_confidence': 0.9239363074302673}"
33,0,0,"{'votes': '5/6', 'highest_confidence': 0.6270145177841187}"
34,0,0,"{'votes': '6/6', 'highest_confidence': 0.9790375232696533}"
35,0,0,"{'votes': '5/5', 'highest_confidence': 0.8349684476852417}"
36,0,0,"{'votes': '3/4', 'highest_confidence': 0.9741747379302979}"
37,0,0,"{'votes': '5/5', 'highest_confidence': 0.9779360294342041}"
38,0,1,"{'votes': '2/2', 'highest_confidence': 0.8439676761627197}"
39,0,0,"{'votes': '7/7', 'highest_confidence': 0.9717971086502075}"
40,0,0,"{'votes': '5/5', 'highest_confidence': 0.9985238909721375}"
41,0,0,"{'votes': '5/5', 'highest_confidence': 0.9383870959281921}"
42,0,1,"{'votes': '3/5', 'highest_confidence': 0.9928275942802429}"
43,0,1,"{'votes': '5/6', 'highest_confidence': 0.8889336585998535}"
44,0,0,"{'votes': '4/5', 'highest_confidence': 0.995145857334137}"
45,0,0,"{'votes': '3/5', 'highest_confidence': 0.9738040566444397}"
46,0,0,"{'votes': '5/8', 'highest_confidence': 0.9673476815223694}"
47,0,1,"{'votes': '3/5', 'highest_confidence': 0.9215775728225708}"
48,0,1,"{'votes': '1/1', 'highest_confidence': 0.5405786037445068}"
49,0,1,"{'votes': '4/5', 'highest_confidence': 0.9778628349304199}"
50,0,1,"{'votes': '2/4', 'highest_confidence': 0.9783413410186768}"
51,0,1,"{'votes': '4/4', 'highest_confidence': 0.9690949320793152}"
52,0,0,"{'votes': '3/4', 'highest_confidence': 0.9738425612449646}"
53,0,1,"{'votes': '3/4', 'highest_confidence': 0.9241471886634827}"
54,0,1,"{'votes': '5/6', 'highest_confidence': 0.9944762587547302}"
55,0,0,"{'votes': '3/5', 'highest_confidence': 0.9994527697563171}"
56,0,1,"{'votes': '3/4', 'highest_confidence': 0.9870795607566833}"
57,0,1,"{'votes': '2/4', 'highest_confidence': 0.9644303917884827}"
58,0,1,"{'votes': '2/3', 'highest_confidence': 0.984357476234436}"
59,0,1,"{'votes': '4/5', 'highest_confidence': 0.9440262913703918}"
60,0,0,"{'votes': '4/6', 'highest_confidence': 0.9721430540084839}"
61,0,1,"{'votes': '3/5', 'highest_confidence': 0.8513537645339966}"
62,0,0,"{'votes': '5/6', 'highest_confidence': 0.97603839635849}"
63,0,1,"{'votes': '3/5', 'highest_confidence': 0.9949102997779846}"
64,0,0,"{'votes': '3/4', 'highest_confidence': 0.9803016781806946}"
65,0,0,"{'votes': '3/3', 'highest_confidence': 0.5988762378692627}"
66,0,0,"{'votes': '4/4', 'highest_confidence': 0.9943038821220398}"
67,0,0,"{'votes': '5/5', 'highest_confidence': 0.9990625977516174}"
68,0,0,"{'votes': '4/5', 'highest_confidence': 0.9914363026618958}"
69,0,0,"{'votes': '5/5', 'highest_confidence': 0.9769153594970703}"
70,0,0,"{'votes': '5/6', 'highest_confidence': 0.7578862905502319}"
71,0,0,"{'votes': '3/4', 'highest_confidence': 0.8846415281295776}"
72,0,1,"{'votes': '5/7', 'highest_confidence': 0.9652757048606873}"
73,0,0,"{'votes': '3/4', 'highest_confidence': 0.993180513381958}"
74,0,0,"{'votes': '4/5', 'highest_confidence': 0.9819163084030151}"
75,0,0,"{'votes': '4/5', 'highest_confidence': 0.946018397808075}"
76,0,0,"{'votes': '4/4', 'highest_confidence': 0.9923475980758667}"
77,0,0,"{'votes': '3/5', 'highest_confidence': 0.9855043292045593}"
78,0,0,"{'votes': '6/6', 'highest_confidence': 0.8508832454681396}"
79,0,1,"{'votes': '3/5', 'highest_confidence': 0.983932375907898}"
80,0,0,"{'votes': '7/7', 'highest_confidence': 0.9978627562522888}"
81,0,0,"{'votes': '6/7', 'highest_confidence': 0.9556039571762085}"
82,0,1,"{'votes': '4/6', 'highest_confidence': 0.949574887752533}"
83,0,0,"{'votes': '4/4', 'highest_confidence': 0.9688247442245483}"
84,0,0,"{'votes': '4/6', 'highest_confidence': 0.972652792930603}"
85,0,1,"{'votes': '2/4', 'highest_confidence': 0.9698008894920349}"
86,0,0,"{'votes': '5/5', 'highest_confidence': 0.9999074935913086}"
87,0,1,"{'votes': '4/6', 'highest_confidence': 0.969164252281189}"
88,0,1,"{'votes': '2/3', 'highest_confidence': 0.9917959570884705}"
89,0,1,"{'votes': '3/4', 'highest_confidence': 0.9943337440490723}"
90,0,0,"{'votes': '3/5', 'highest_confidence': 0.8772150278091431}"
91,0,0,"{'votes': '3/6', 'highest_confidence': 0.9728270769119263}"
92,0,1,"{'votes': '4/7', 'highest_confidence': 0.9988634586334229}"
93,0,0,"{'votes': '4/5', 'highest_confidence': 0.998950183391571}"
94,0,0,"{'votes': '3/5', 'highest_confidence': 0.999244213104248}"
95,0,1,"{'votes': '6/6', 'highest_confidence': 0.7782540321350098}"
96,0,0,"{'votes': '3/4', 'highest_confidence': 0.9826440215110779}"
97,0,1,"{'votes': '3/4', 'highest_confidence': 0.6404837369918823}"
98,0,1,"{'votes': '3/4', 'highest_confidence': 0.9478439688682556}"
99,0,0,"{'votes': '2/3', 'highest_confidence': 0.9937021732330322}"
100,0,1,"{'votes': '3/5', 'highest_confidence': 0.8846045732498169}"
101,0,1,"{'votes': '3/5', 'highest_confidence': 0.96710604429245}"
102,0,1,"{'votes': '1/2', 'highest_confidence': 0.9617269039154053}"
103,0,1,"{'votes': '5/7', 'highest_confidence': 0.9690849781036377}"
104,0,0,"{'votes': '6/6', 'highest_confidence': 0.9889539480209351}"
105,0,1,"{'votes': '3/5', 'highest_confidence': 0.998548686504364}"
106,0,1,"{'votes': '3/5', 'highest_confidence': 0.9195228219032288}"
107,0,1,"{'votes': '4/6', 'highest_confidence': 0.9378798007965088}"
108,0,0,"{'votes': '4/7', 'highest_confidence': 0.9167790412902832}"
109,0,1,"{'votes': '1/1', 'highest_confidence': 0.984029233455658}"
110,0,0,"{'votes': '4/6', 'highest_confidence': 0.9739649295806885}"
111,0,0,"{'votes': '6/6', 'highest_confidence': 0.9749748110771179}"
112,0,1,"{'votes': '4/7', 'highest_confidence': 0.9925453066825867}"
113,0,0,"{'votes': '3/5', 'highest_confidence': 0.9011679291725159}"
114,0,1,"{'votes': '3/5', 'highest_confidence': 0.9736126065254211}"
115,0,0,"{'votes': '4/6', 'highest_confidence': 0.978158712387085}"
116,0,0,"{'votes': '6/6', 'highest_confidence': 0.7063508629798889}"
117,0,0,"{'votes': '4/6', 'highest_confidence': 0.8682194948196411}"
118,0,1,"{'votes': '4/5', 'highest_confidence': 0.9949325919151306}"
119,0,1,"{'votes': '7/7', 'highest_confidence': 0.9217087030410767}"
120,0,0,"{'votes': '4/7', 'highest_confidence': 0.8598615527153015}"
121,0,1,"{'votes': '4/4', 'highest_confidence': 0.9349680542945862}"
122,0,1,"{'votes': '3/5', 'highest_confidence': 0.8468084335327148}"
123,0,1,"{'votes': '5/5', 'highest_confidence': 0.9891202449798584}"
124,0,1,"{'votes': '1/1', 'highest_confidence': 0.9948344230651855}"
125,0,0,"{'votes': '4/7', 'highest_confidence': 0.8805105090141296}"
126,0,0,"{'votes': '4/6', 'highest_confidence': 0.9387332797050476}"
127,0,1,"{'votes': '3/6', 'highest_confidence': 0.9627484083175659}"
128,0,1,"{'votes': '4/5', 'highest_confidence': 0.7489403486251831}"
129,0,1,"{'votes': '3/5', 'highest_confidence': 0.8978115320205688}"
130,0,1,"{'votes': '2/4', 'highest_confidence': 0.9925135970115662}"
131,0,1,"{'votes': '3/4', 'highest_confidence': 0.9993264675140381}"
132,0,1,"{'votes': '3/5', 'highest_confidence': 0.9941600561141968}"
133,0,1,"{'votes': '6/7', 'highest_confidence': 0.9029733538627625}"
134,0,0,"{'votes': '5/8', 'highest_confidence': 0.8921228647232056}"
135,0,0,"{'votes': '3/5', 'highest_confidence': 0.8016312122344971}"
136,0,1,"{'votes': '4/5', 'highest_confidence': 0.8239394426345825}"
137,0,1,"{'votes': '3/3', 'highest_confidence': 0.6536358594894409}"
138,0,0,"{'votes': '3/5', 'highest_confidence': 0.9693595767021179}"
139,0,0,"{'votes': '3/5', 'highest_confidence': 0.9931613206863403}"
140,0,1,"{'votes': '3/5', 'highest_confidence': 0.9994398951530457}"
141,0,1,"{'votes': '4/6', 'highest_confidence': 0.9652146100997925}"
142,0,0,"{'votes': '3/6', 'highest_confidence': 0.9154617786407471}"
143,0,0,"{'votes': '4/6', 'highest_confidence': 0.9512284398078918}"
144,0,1,"{'votes': '2/2', 'highest_confidence': 0.9072533845901489}"
145,0,1,"{'votes': '5/5', 'highest_confidence': 0.9985137581825256}"
146,0,1,"{'votes': '3/3', 'highest_confidence': 0.7869214415550232}"
147,0,0,"{'votes': '3/4', 'highest_confidence': 0.9793365597724915}"
148,0,1,"{'votes': '5/5', 'highest_confidence': 0.9056634306907654}"
149,0,1,"{'votes': '3/5', 'highest_confidence': 0.9970014691352844}"
150,0,1,"{'votes': '3/4', 'highest_confidence': 0.9992458820343018}"
151,0,0,"{'votes': '5/6', 'highest_confidence': 0.9966930150985718}"
152,0,0,"{'votes': '4/4', 'highest_confidence': 0.9968852400779724}"
153,0,1,"{'votes': '3/4', 'highest_confidence': 0.8397573232650757}"
154,0,0,"{'votes': '4/4', 'highest_confidence': 0.9410029053688049}"
155,0,0,"{'votes': '3/5', 'highest_confidence': 0.9954598546028137}"
156,0,0,"{'votes': '3/4', 'highest_confidence': 0.8549169898033142}"
157,0,0,"{'votes': '3/3', 'highest_confidence': 0.9661038517951965}"
158,0,1,"{'votes': '4/4', 'highest_confidence': 0.7649371027946472}"
159,0,0,"{'votes': '3/4', 'highest_confidence': 0.6947673559188843}"
160,0,0,"{'votes': '4/5', 'highest_confidence': 0.8949240446090698}"
161,0,0,"{'votes': '3/4', 'highest_confidence': 0.8903972506523132}"
162,0,0,"{'votes': '5/5', 'highest_confidence': 0.8776974081993103}"
163,0,0,"{'votes': '5/5', 'highest_confidence': 0.641348659992218}"
164,0,0,"{'votes': '7/7', 'highest_confidence': 0.9856452345848083}"
165,0,0,"{'votes': '1/2', 'highest_confidence': 0.9037351608276367}"
166,0,0,"{'votes': '4/4', 'highest_confidence': 0.9986982345581055}"
167,0,1,"{'votes': '4/5', 'highest_confidence': 0.9789126515388489}"
168,0,0,"{'votes': '2/3', 'highest_confidence': 0.9681799411773682}"
169,0,0,"{'votes': '4/5', 'highest_confidence': 0.9719152450561523}"
170,0,0,"{'votes': '5/5', 'highest_confidence': 0.9723260402679443}"
171,0,0,"{'votes': '7/7', 'highest_confidence': 0.9999797344207764}"
172,0,0,"{'votes': '4/5', 'highest_confidence': 0.9219744205474854}"
173,0,0,"{'votes': '4/7', 'highest_confidence': 0.9993458390235901}"
174,0,0,"{'votes': '4/6', 'highest_confidence': 0.9994745850563049}"
175,0,1,"{'votes': '3/5', 'highest_confidence': 0.9974769949913025}"
176,0,0,"{'votes': '4/4', 'highest_confidence': 0.9998975992202759}"
177,0,0,"{'votes': '4/6', 'highest_confidence': 0.9828145503997803}"
178,0,0,"{'votes': '3/5', 'highest_confidence': 0.9861944913864136}"
179,0,0,"{'votes': '5/5', 'highest_confidence': 0.9990106821060181}"
180,0,0,"{'votes': '4/4', 'highest_confidence': 0.9992220401763916}"
181,0,0,"{'votes': '5/5', 'highest_confidence': 0.995884120464325}"
182,0,0,"{'votes': '6/6', 'highest_confidence': 0.999340832233429}"
183,0,0,"{'votes': '5/5', 'highest_confidence': 0.9796918034553528}"
184,0,0,"{'votes': '3/4', 'highest_confidence': 0.9967723488807678}"
185,0,0,"{'votes': '3/6', 'highest_confidence': 0.8863359689712524}"
186,0,1,"{'votes': '3/4', 'highest_confidence': 0.9971650242805481}"
187,0,0,"{'votes': '4/5', 'highest_confidence': 0.927737832069397}"
188,0,1,"{'votes': '4/4', 'highest_confidence': 0.9513135552406311}"
189,0,1,"{'votes': '3/6', 'highest_confidence': 0.8479353189468384}"
190,0,1,"{'votes': '3/6', 'highest_confidence': 0.9715757966041565}"
191,0,0,"{'votes': '4/5', 'highest_confidence': 0.9882490634918213}"
192,0,1,"{'votes': '4/4', 'highest_confidence': 0.9900369644165039}"
193,0,1,"{'votes': '4/5', 'highest_confidence': 0.9788929224014282}"
194,0,0,"{'votes': '2/4', 'highest_confidence': 0.664308488368988}"
195,0,1,"{'votes': '3/5', 'highest_confidence': 0.9936916828155518}"
196,0,0,"{'votes': '4/7', 'highest_confidence': 0.9853014349937439}"
197,0,0,"{'votes': '3/3', 'highest_confidence': 0.9468428492546082}"
198,0,1,"{'votes': '4/7', 'highest_confidence': 0.97775799036026}"
199,0,0,"{'votes': '4/6', 'highest_confidence': 0.8450653553009033}"
200,0,0,"{'votes': '5/6', 'highest_confidence': 0.895416259765625}"
201,0,0,"{'votes': '6/6', 'highest_confidence': 0.8901164531707764}"
202,0,0,"{'votes': '4/6', 'highest_confidence': 0.9694091081619263}"
203,0,1,"{'votes': '6/6', 'highest_confidence': 0.9943963289260864}"
204,0,0,"{'votes': '4/5', 'highest_confidence': 0.9023314118385315}"
205,0,1,"{'votes': '4/5', 'highest_confidence': 0.9943172335624695}"
206,0,1,"{'votes': '4/6', 'highest_confidence': 0.9915180802345276}"
207,0,1,"{'votes': '3/6', 'highest_confidence': 0.933772623538971}"
208,0,1,"{'votes': '4/4', 'highest_confidence': 0.9455538988113403}"
209,0,1,"{'votes': '2/4', 'highest_confidence': 0.970559298992157}"
210,0,1,"{'votes': '3/5', 'highest_confidence': 0.9731737375259399}"
211,0,1,"{'votes': '5/6', 'highest_confidence': 0.9850450158119202}"
212,0,0,"{'votes': '4/7', 'highest_confidence': 0.9945566654205322}"
213,0,1,"{'votes': '3/5', 'highest_confidence': 0.9568780064582825}"
214,0,1,"{'votes': '5/5', 'highest_confidence': 0.9676359295845032}"
215,0,1,"{'votes': '2/4', 'highest_confidence': 0.9993306398391724}"
216,0,1,"{'votes': '3/4', 'highest_confidence': 0.9986808896064758}"
217,0,0,"{'votes': '3/5', 'highest_confidence': 0.9036232233047485}"
218,0,1,"{'votes': '2/3', 'highest_confidence': 0.9994674324989319}"
219,0,1,"{'votes': '3/5', 'highest_confidence': 0.9751010537147522}"
220,0,1,"{'votes': '2/4', 'highest_confidence': 0.9987177848815918}"
221,0,1,"{'votes': '4/5', 'highest_confidence': 0.9856363534927368}"
222,0,1,"{'votes': '2/4', 'highest_confidence': 0.967228353023529}"
223,0,1,"{'votes': '4/5', 'highest_confidence': 0.9998948574066162}"
224,0,1,"{'votes': '3/5', 'highest_confidence': 0.9278429746627808}"
225,0,1,"{'votes': '4/7', 'highest_confidence': 0.957992672920227}"
226,0,0,"{'votes': '3/4', 'highest_confidence': 0.9217680096626282}"
227,0,1,"{'votes': '2/4', 'highest_confidence': 0.5716138482093811}"
228,0,1,"{'votes': '2/4', 'highest_confidence': 0.9991658926010132}"
229,0,0,"{'votes': '5/5', 'highest_confidence': 0.9968750476837158}"
230,0,0,"{'votes': '4/5', 'highest_confidence': 0.9990707039833069}"
231,0,0,"{'votes': '4/4', 'highest_confidence': 0.9971469044685364}"
232,0,0,"{'votes': '5/5', 'highest_confidence': 0.9998809099197388}"
233,0,0,"{'votes': '5/6', 'highest_confidence': 0.9999949932098389}"
234,0,0,"{'votes': '5/5', 'highest_confidence': 0.998522937297821}"
