test line,ground,predicted,mvs
0,0,2,{'votes/confidence': '3/4'}
1,0,2,{'votes/confidence': '5/6'}
2,0,3,{'votes/confidence': '7/8'}
3,0,1,{'votes/confidence': '4/5'}
4,0,0,{'votes/confidence': '4/6'}
5,0,2,{'votes/confidence': '4/4'}
6,0,2,{'votes/confidence': '5/5'}
7,0,2,{'votes/confidence': '6/6'}
8,0,3,{'votes/confidence': '6/7'}
9,0,0,{'votes/confidence': '6/8'}
10,0,0,{'votes/confidence': '7/7'}
11,0,2,{'votes/confidence': '4/7'}
12,0,1,{'votes/confidence': '4/8'}
13,0,1,{'votes/confidence': '3/6'}
14,0,3,{'votes/confidence': '2/3'}
15,0,3,{'votes/confidence': '4/4'}
16,0,2,{'votes/confidence': '3/5'}
17,0,3,{'votes/confidence': 0.9865905046463013}
18,0,2,{'votes/confidence': '3/5'}
19,0,3,{'votes/confidence': '4/4'}
20,0,0,{'votes/confidence': '3/5'}
21,0,3,{'votes/confidence': '4/4'}
22,0,2,{'votes/confidence': 0.8922055959701538}
23,0,2,{'votes/confidence': '1/1'}
24,0,0,{'votes/confidence': 0.9596447348594666}
25,0,2,{'votes/confidence': 0.9921633005142212}
26,0,3,{'votes/confidence': '4/5'}
27,0,2,{'votes/confidence': '4/4'}
28,0,2,{'votes/confidence': '3/5'}
29,0,3,{'votes/confidence': '4/5'}
30,0,3,{'votes/confidence': '5/5'}
31,0,0,{'votes/confidence': '3/4'}
32,0,1,{'votes/confidence': '2/3'}
33,0,3,{'votes/confidence': '3/5'}
34,0,3,{'votes/confidence': '3/6'}
35,0,0,{'votes/confidence': '4/5'}
36,0,0,{'votes/confidence': '6/6'}
37,0,3,{'votes/confidence': '3/7'}
38,0,0,{'votes/confidence': '2/3'}
39,0,0,{'votes/confidence': '7/7'}
40,0,1,{'votes/confidence': '4/8'}
41,0,0,{'votes/confidence': 0.9975232481956482}
42,0,0,{'votes/confidence': '7/7'}
43,0,1,{'votes/confidence': '6/7'}
44,0,1,{'votes/confidence': '2/4'}
45,0,0,{'votes/confidence': 0.99735426902771}
46,0,0,{'votes/confidence': '6/6'}
47,0,0,{'votes/confidence': '4/6'}
48,0,2,{'votes/confidence': '5/6'}
49,0,3,{'votes/confidence': '2/4'}
50,0,2,{'votes/confidence': '4/7'}
51,0,0,{'votes/confidence': '1/1'}
52,0,0,{'votes/confidence': '6/6'}
53,0,0,{'votes/confidence': '2/4'}
54,0,1,{'votes/confidence': '5/6'}
55,0,1,{'votes/confidence': '5/6'}
56,0,3,{'votes/confidence': '2/3'}
57,0,3,{'votes/confidence': '3/5'}
58,0,3,{'votes/confidence': '3/5'}
59,0,1,{'votes/confidence': '5/6'}
60,0,0,{'votes/confidence': '3/5'}
61,0,1,{'votes/confidence': '3/5'}
62,0,2,{'votes/confidence': '3/5'}
63,0,0,{'votes/confidence': '5/6'}
64,0,3,{'votes/confidence': 0.9669829607009888}
65,0,3,{'votes/confidence': '3/5'}
66,0,3,{'votes/confidence': '5/5'}
67,0,2,{'votes/confidence': '2/4'}
68,0,3,{'votes/confidence': '4/4'}
69,0,3,{'votes/confidence': '4/6'}
70,0,2,{'votes/confidence': 0.8199235200881958}
71,0,0,{'votes/confidence': 0.9904031753540039}
72,0,1,{'votes/confidence': 0.9915149211883545}
73,0,0,{'votes/confidence': '3/5'}
74,0,2,{'votes/confidence': '5/7'}
75,0,0,{'votes/confidence': 0.9928273558616638}
76,0,3,{'votes/confidence': '5/6'}
77,0,0,{'votes/confidence': 0.999956488609314}
78,0,3,{'votes/confidence': '2/4'}
79,0,2,{'votes/confidence': '2/2'}
80,0,2,{'votes/confidence': '3/5'}
81,0,0,{'votes/confidence': '3/5'}
82,0,3,{'votes/confidence': '4/6'}
83,0,2,{'votes/confidence': '6/6'}
84,0,2,{'votes/confidence': 0.9999176263809204}
85,0,0,{'votes/confidence': '6/7'}
86,0,0,{'votes/confidence': '7/8'}
87,0,1,{'votes/confidence': '3/7'}
88,0,1,{'votes/confidence': '4/5'}
89,0,1,{'votes/confidence': '4/7'}
90,0,3,{'votes/confidence': '4/5'}
91,0,0,{'votes/confidence': '4/6'}
92,0,3,{'votes/confidence': '3/5'}
93,0,0,{'votes/confidence': '2/4'}
94,0,3,{'votes/confidence': '4/5'}
95,0,2,{'votes/confidence': '5/7'}
96,0,2,{'votes/confidence': '3/5'}
97,0,3,{'votes/confidence': '4/7'}
98,0,2,{'votes/confidence': 0.986724853515625}
99,0,2,{'votes/confidence': '5/7'}
100,0,0,{'votes/confidence': 0.9990746974945068}
101,0,2,{'votes/confidence': '3/6'}
102,0,2,{'votes/confidence': '3/6'}
103,0,2,{'votes/confidence': '4/6'}
104,0,0,{'votes/confidence': '2/4'}
105,0,3,{'votes/confidence': '3/6'}
106,0,2,{'votes/confidence': '2/5'}
107,0,3,{'votes/confidence': '3/7'}
108,0,3,{'votes/confidence': 0.8999202847480774}
109,0,0,{'votes/confidence': '5/6'}
110,0,3,{'votes/confidence': 0.9960163235664368}
111,0,0,{'votes/confidence': '5/6'}
112,0,2,{'votes/confidence': '3/5'}
113,0,2,{'votes/confidence': '4/4'}
114,0,0,{'votes/confidence': '5/7'}
115,0,2,{'votes/confidence': '3/7'}
116,0,0,{'votes/confidence': '6/8'}
117,0,2,{'votes/confidence': 0.9995898604393005}
118,0,2,{'votes/confidence': '4/4'}
119,0,1,{'votes/confidence': '2/4'}
120,0,1,{'votes/confidence': '3/4'}
121,0,3,{'votes/confidence': '3/5'}
122,0,2,{'votes/confidence': '3/5'}
123,0,0,{'votes/confidence': '2/2'}
124,0,2,{'votes/confidence': '3/6'}
125,0,2,{'votes/confidence': '5/5'}
126,0,0,{'votes/confidence': 0.9902808666229248}
127,0,2,{'votes/confidence': '4/7'}
128,0,1,{'votes/confidence': '3/5'}
129,0,2,{'votes/confidence': '5/5'}
130,0,2,{'votes/confidence': '5/5'}
131,0,1,{'votes/confidence': '3/6'}
132,0,3,{'votes/confidence': 0.9283967018127441}
133,0,0,{'votes/confidence': '4/6'}
134,1,0,{'votes/confidence': '3/4'}
135,1,3,{'votes/confidence': '3/5'}
136,1,0,{'votes/confidence': '4/5'}
137,1,2,{'votes/confidence': '4/4'}
138,1,1,{'votes/confidence': '4/8'}
139,1,0,{'votes/confidence': '3/3'}
140,1,1,{'votes/confidence': '3/3'}
141,1,1,{'votes/confidence': 0.999997615814209}
142,1,2,{'votes/confidence': '2/3'}
143,1,3,{'votes/confidence': '3/5'}
144,1,2,{'votes/confidence': '2/4'}
145,1,1,{'votes/confidence': '4/4'}
146,1,2,{'votes/confidence': '3/3'}
147,1,2,{'votes/confidence': '3/6'}
148,1,0,{'votes/confidence': '5/7'}
149,1,1,{'votes/confidence': 0.9988021850585938}
150,1,3,{'votes/confidence': '1/1'}
151,1,1,{'votes/confidence': '3/4'}
152,1,1,{'votes/confidence': '4/5'}
153,1,3,{'votes/confidence': '4/5'}
154,1,1,{'votes/confidence': '2/3'}
155,1,1,{'votes/confidence': '6/6'}
156,1,0,{'votes/confidence': '3/6'}
157,1,1,{'votes/confidence': '6/6'}
158,1,3,{'votes/confidence': '3/6'}
159,1,1,{'votes/confidence': '3/5'}
160,1,2,{'votes/confidence': '3/4'}
161,1,3,{'votes/confidence': '3/3'}
162,1,1,{'votes/confidence': '3/5'}
163,1,1,{'votes/confidence': '3/5'}
164,1,0,{'votes/confidence': '3/6'}
165,1,3,{'votes/confidence': '5/6'}
166,1,1,{'votes/confidence': '3/5'}
167,1,2,{'votes/confidence': '4/6'}
168,1,0,{'votes/confidence': 0.7965517640113831}
169,1,2,{'votes/confidence': '4/5'}
170,1,1,{'votes/confidence': '3/4'}
171,1,3,{'votes/confidence': '4/6'}
172,1,2,{'votes/confidence': '4/5'}
173,1,2,{'votes/confidence': '4/6'}
174,1,1,{'votes/confidence': '3/4'}
175,1,1,{'votes/confidence': '3/5'}
176,1,3,{'votes/confidence': '3/4'}
177,1,2,{'votes/confidence': '2/4'}
178,1,0,{'votes/confidence': '3/4'}
179,1,0,{'votes/confidence': 0.998857855796814}
180,1,1,{'votes/confidence': '5/5'}
181,1,3,{'votes/confidence': '3/3'}
182,1,2,{'votes/confidence': '3/6'}
183,1,0,{'votes/confidence': '4/5'}
184,1,1,{'votes/confidence': '4/7'}
185,1,0,{'votes/confidence': 0.9909400939941406}
186,1,2,{'votes/confidence': 0.9694730639457703}
187,1,1,{'votes/confidence': 0.9998775720596313}
188,1,2,{'votes/confidence': '5/7'}
189,1,0,{'votes/confidence': '4/6'}
190,1,2,{'votes/confidence': '3/5'}
191,1,3,{'votes/confidence': 0.9623544812202454}
192,1,1,{'votes/confidence': '2/2'}
193,1,3,{'votes/confidence': '3/4'}
194,1,0,{'votes/confidence': '3/4'}
195,1,1,{'votes/confidence': '4/4'}
196,1,0,{'votes/confidence': '3/5'}
197,1,1,{'votes/confidence': 0.9898790121078491}
198,1,1,{'votes/confidence': '5/5'}
199,1,1,{'votes/confidence': '4/5'}
200,1,0,{'votes/confidence': '3/3'}
201,1,2,{'votes/confidence': '3/5'}
202,1,0,{'votes/confidence': '4/6'}
203,1,1,{'votes/confidence': '5/5'}
204,1,0,{'votes/confidence': 0.9986411929130554}
205,1,3,{'votes/confidence': '4/5'}
206,1,3,{'votes/confidence': '6/8'}
207,1,1,{'votes/confidence': '3/5'}
