test line,ground,predicted,mvs
0,0,3,{'votes/confidence': '4/4'}
1,0,3,{'votes/confidence': '3/6'}
2,0,1,{'votes/confidence': '5/8'}
3,0,2,{'votes/confidence': '3/5'}
4,0,2,{'votes/confidence': '6/6'}
5,0,3,{'votes/confidence': '3/4'}
6,0,0,{'votes/confidence': '3/5'}
7,0,2,{'votes/confidence': '6/6'}
8,0,3,{'votes/confidence': '6/7'}
9,0,3,{'votes/confidence': '5/8'}
10,0,0,{'votes/confidence': '4/7'}
11,0,2,{'votes/confidence': '5/7'}
12,0,2,{'votes/confidence': 1.0}
13,0,3,{'votes/confidence': '4/6'}
14,0,0,{'votes/confidence': '2/3'}
15,0,2,{'votes/confidence': '3/4'}
16,0,2,{'votes/confidence': '3/5'}
17,0,0,{'votes/confidence': '3/4'}
18,0,2,{'votes/confidence': 0.9996932744979858}
19,0,2,{'votes/confidence': '4/4'}
20,0,3,{'votes/confidence': '3/5'}
21,0,0,{'votes/confidence': '3/4'}
22,0,3,{'votes/confidence': '2/2'}
23,0,3,{'votes/confidence': '1/1'}
24,0,2,{'votes/confidence': '4/5'}
25,0,2,{'votes/confidence': '3/5'}
26,0,0,{'votes/confidence': '5/5'}
27,0,3,{'votes/confidence': 0.9715877771377563}
28,0,3,{'votes/confidence': '3/5'}
29,0,2,{'votes/confidence': '3/5'}
30,0,0,{'votes/confidence': '3/5'}
31,0,1,{'votes/confidence': '3/4'}
32,0,0,{'votes/confidence': '3/3'}
33,0,0,{'votes/confidence': '3/5'}
34,0,2,{'votes/confidence': '4/6'}
35,0,3,{'votes/confidence': '4/5'}
36,0,2,{'votes/confidence': '3/6'}
37,0,1,{'votes/confidence': '5/7'}
38,0,1,{'votes/confidence': '3/3'}
39,0,0,{'votes/confidence': '4/7'}
40,0,2,{'votes/confidence': '7/8'}
41,0,3,{'votes/confidence': '4/8'}
42,0,2,{'votes/confidence': '4/7'}
43,0,3,{'votes/confidence': '5/7'}
44,0,1,{'votes/confidence': '2/4'}
45,0,2,{'votes/confidence': '4/6'}
46,0,2,{'votes/confidence': '5/6'}
47,0,2,{'votes/confidence': '5/6'}
48,0,1,{'votes/confidence': '4/6'}
49,0,3,{'votes/confidence': 0.8608017563819885}
50,0,3,{'votes/confidence': '5/7'}
51,0,0,{'votes/confidence': '1/1'}
52,0,0,{'votes/confidence': '4/6'}
53,0,0,{'votes/confidence': '4/4'}
54,0,3,{'votes/confidence': '3/6'}
55,0,3,{'votes/confidence': 0.9983651041984558}
56,0,1,{'votes/confidence': '2/3'}
57,0,1,{'votes/confidence': 0.9605176448822021}
