test line,ground,predicted,mvs
0,0,0,{'votes/confidence': '6/6'}
1,0,0,{'votes/confidence': '4/6'}
2,0,1,{'votes/confidence': 1.0}
3,0,1,{'votes/confidence': '6/7'}
4,0,1,{'votes/confidence': '4/7'}
5,0,0,{'votes/confidence': '4/6'}
6,0,1,{'votes/confidence': '3/5'}
7,0,0,{'votes/confidence': '3/5'}
8,0,0,{'votes/confidence': '7/7'}
9,0,1,{'votes/confidence': '5/5'}
10,0,1,{'votes/confidence': '5/6'}
11,0,0,{'votes/confidence': '6/6'}
12,0,0,{'votes/confidence': 1.0}
13,0,1,{'votes/confidence': '6/7'}
14,0,0,{'votes/confidence': 1.0}
15,0,0,{'votes/confidence': '2/2'}
16,0,0,{'votes/confidence': '4/4'}
17,0,1,{'votes/confidence': '3/5'}
18,0,1,{'votes/confidence': 1.0}
19,0,1,{'votes/confidence': '4/6'}
20,0,0,{'votes/confidence': '3/4'}
21,0,0,{'votes/confidence': '3/5'}
22,0,0,{'votes/confidence': '2/2'}
23,0,1,{'votes/confidence': '3/5'}
24,0,1,{'votes/confidence': '6/8'}
25,0,0,{'votes/confidence': '6/6'}
26,0,0,{'votes/confidence': '4/7'}
27,0,0,{'votes/confidence': '5/5'}
28,0,1,{'votes/confidence': '1/1'}
29,0,1,{'votes/confidence': 0.9999994039535522}
30,0,1,{'votes/confidence': '3/4'}
31,0,0,{'votes/confidence': '5/5'}
32,0,0,{'votes/confidence': '6/6'}
33,0,0,{'votes/confidence': '6/8'}
34,0,1,{'votes/confidence': '5/6'}
35,0,1,{'votes/confidence': '6/8'}
36,0,0,{'votes/confidence': '8/8'}
37,0,1,{'votes/confidence': '4/7'}
38,0,0,{'votes/confidence': '5/8'}
39,0,0,{'votes/confidence': '6/6'}
40,0,0,{'votes/confidence': '4/4'}
41,0,1,{'votes/confidence': '7/7'}
42,0,0,{'votes/confidence': 1.0}
43,0,0,{'votes/confidence': '5/5'}
44,0,0,{'votes/confidence': '6/6'}
45,0,1,{'votes/confidence': '5/7'}
46,0,1,{'votes/confidence': '4/6'}
47,0,0,{'votes/confidence': 0.9999949932098389}
48,0,1,{'votes/confidence': '7/7'}
49,0,0,{'votes/confidence': '3/3'}
50,0,1,{'votes/confidence': '5/5'}
51,0,1,{'votes/confidence': '3/5'}
52,0,0,{'votes/confidence': '6/6'}
53,0,0,{'votes/confidence': '4/4'}
54,0,0,{'votes/confidence': '5/7'}
55,0,1,{'votes/confidence': '4/6'}
56,0,0,{'votes/confidence': '4/5'}
57,0,1,{'votes/confidence': '5/5'}
58,0,1,{'votes/confidence': '6/6'}
59,0,1,{'votes/confidence': '7/7'}
60,0,1,{'votes/confidence': '1/1'}
61,0,0,{'votes/confidence': '4/4'}
62,0,0,{'votes/confidence': '5/7'}
63,0,0,{'votes/confidence': 1.0}
64,0,1,{'votes/confidence': '3/5'}
65,0,0,{'votes/confidence': '5/5'}
66,0,0,{'votes/confidence': '6/6'}
67,0,0,{'votes/confidence': '6/6'}
68,0,0,{'votes/confidence': '7/7'}
69,0,0,{'votes/confidence': '6/6'}
70,0,0,{'votes/confidence': '5/5'}
71,0,1,{'votes/confidence': '3/3'}
72,0,1,{'votes/confidence': '4/5'}
73,0,1,{'votes/confidence': '3/4'}
74,0,1,{'votes/confidence': '3/5'}
75,0,1,{'votes/confidence': '3/5'}
76,0,0,{'votes/confidence': '6/6'}
77,0,1,{'votes/confidence': '3/4'}
78,0,1,{'votes/confidence': '6/7'}
79,0,1,{'votes/confidence': 1.0}
80,0,1,{'votes/confidence': '5/6'}
81,0,0,{'votes/confidence': '5/5'}
82,0,0,{'votes/confidence': '3/5'}
83,0,0,{'votes/confidence': '4/4'}
84,0,0,{'votes/confidence': '6/6'}
85,0,1,{'votes/confidence': '3/4'}
86,0,1,{'votes/confidence': '5/5'}
87,0,1,{'votes/confidence': '5/6'}
88,0,0,{'votes/confidence': '5/5'}
89,0,0,{'votes/confidence': '6/6'}
90,0,0,{'votes/confidence': '4/7'}
91,0,0,{'votes/confidence': '4/5'}
92,0,0,{'votes/confidence': '9/9'}
93,0,0,{'votes/confidence': '5/5'}
94,0,0,{'votes/confidence': '4/6'}
95,0,0,{'votes/confidence': '6/6'}
96,0,1,{'votes/confidence': 1.0}
97,0,0,{'votes/confidence': '4/4'}
98,0,1,{'votes/confidence': '5/6'}
99,0,0,{'votes/confidence': '6/6'}
100,0,0,{'votes/confidence': '5/5'}
101,0,0,{'votes/confidence': '7/7'}
102,0,1,{'votes/confidence': '5/6'}
103,0,1,{'votes/confidence': '3/4'}
104,0,1,{'votes/confidence': '3/4'}
105,0,0,{'votes/confidence': '4/6'}
106,0,0,{'votes/confidence': '6/7'}
107,0,1,{'votes/confidence': '5/8'}
108,0,0,{'votes/confidence': '3/5'}
109,0,0,{'votes/confidence': '5/5'}
110,0,1,{'votes/confidence': '3/5'}
111,0,0,{'votes/confidence': '3/5'}
112,0,0,{'votes/confidence': 1.0}
113,0,0,{'votes/confidence': '3/3'}
114,0,1,{'votes/confidence': '4/7'}
115,0,0,{'votes/confidence': '6/6'}
116,0,0,{'votes/confidence': '4/4'}
117,0,0,{'votes/confidence': '3/5'}
118,0,0,{'votes/confidence': 1.0}
119,0,0,{'votes/confidence': '3/4'}
120,0,0,{'votes/confidence': '4/4'}
121,0,1,{'votes/confidence': '5/7'}
122,0,0,{'votes/confidence': '7/7'}
123,0,0,{'votes/confidence': '3/4'}
124,0,1,{'votes/confidence': '3/4'}
125,0,0,{'votes/confidence': '4/5'}
126,0,0,{'votes/confidence': '4/4'}
127,0,0,{'votes/confidence': '3/3'}
128,0,0,{'votes/confidence': 0.9999978542327881}
129,0,1,{'votes/confidence': '3/4'}
130,0,0,{'votes/confidence': '3/5'}
131,0,0,{'votes/confidence': '5/5'}
132,0,0,{'votes/confidence': '6/6'}
133,0,0,{'votes/confidence': '5/5'}
134,0,1,{'votes/confidence': '4/6'}
135,0,0,{'votes/confidence': '4/4'}
136,0,0,{'votes/confidence': '3/5'}
137,0,0,{'votes/confidence': '6/6'}
138,0,1,{'votes/confidence': '6/7'}
139,0,0,{'votes/confidence': '8/8'}
140,0,1,{'votes/confidence': '4/5'}
141,0,0,{'votes/confidence': '5/7'}
142,0,1,{'votes/confidence': '2/3'}
143,0,1,{'votes/confidence': '6/7'}
144,0,0,{'votes/confidence': 1.0}
145,0,1,{'votes/confidence': '5/6'}
146,0,1,{'votes/confidence': '4/6'}
147,0,0,{'votes/confidence': '4/6'}
148,0,1,{'votes/confidence': '5/8'}
149,0,0,{'votes/confidence': '6/6'}
150,0,1,{'votes/confidence': '5/6'}
151,0,0,{'votes/confidence': '8/8'}
152,0,0,{'votes/confidence': '7/7'}
153,0,0,{'votes/confidence': '4/4'}
154,0,0,{'votes/confidence': '3/5'}
155,0,1,{'votes/confidence': '5/7'}
156,0,1,{'votes/confidence': '4/7'}
157,0,1,{'votes/confidence': '4/7'}
158,0,1,{'votes/confidence': '5/5'}
159,0,0,{'votes/confidence': 1.0}
160,0,1,{'votes/confidence': '5/6'}
161,0,0,{'votes/confidence': '4/6'}
162,0,0,{'votes/confidence': '5/5'}
163,0,0,{'votes/confidence': '5/5'}
164,0,0,{'votes/confidence': '3/3'}
165,0,1,{'votes/confidence': '3/4'}
166,0,0,{'votes/confidence': '4/4'}
167,0,1,{'votes/confidence': '4/5'}
168,0,0,{'votes/confidence': '3/3'}
169,0,0,{'votes/confidence': '6/6'}
170,0,1,{'votes/confidence': '4/5'}
171,0,1,{'votes/confidence': '4/5'}
172,0,0,{'votes/confidence': '6/6'}
173,0,0,{'votes/confidence': '5/5'}
174,0,1,{'votes/confidence': '3/5'}
175,0,1,{'votes/confidence': '4/5'}
176,0,0,{'votes/confidence': '4/6'}
177,0,0,{'votes/confidence': 0.9690876603126526}
178,0,0,{'votes/confidence': '6/6'}
179,0,0,{'votes/confidence': '4/4'}
180,0,0,{'votes/confidence': '6/6'}
181,0,0,{'votes/confidence': '4/4'}
182,0,1,{'votes/confidence': '5/7'}
183,0,1,{'votes/confidence': '5/8'}
184,0,0,{'votes/confidence': '7/7'}
185,0,1,{'votes/confidence': '4/5'}
186,0,0,{'votes/confidence': '4/7'}
187,0,1,{'votes/confidence': '4/5'}
188,0,1,{'votes/confidence': '5/5'}
189,0,0,{'votes/confidence': '4/6'}
190,0,0,{'votes/confidence': '5/5'}
191,0,0,{'votes/confidence': '5/6'}
192,0,0,{'votes/confidence': 0.999998927116394}
193,0,1,{'votes/confidence': '6/7'}
194,0,0,{'votes/confidence': '4/7'}
195,0,1,{'votes/confidence': '5/8'}
196,0,0,{'votes/confidence': '4/6'}
