test line,ground,predicted,mvs
0,0,1,"{'votes': '4/4', 'highest_confidence': 0.9566139578819275}"
1,0,0,"{'votes': '2/3', 'highest_confidence': 0.9992678761482239}"
2,0,0,"{'votes': '3/3', 'highest_confidence': 0.9887722134590149}"
3,0,0,"{'votes': '3/5', 'highest_confidence': 0.9999960660934448}"
4,0,1,"{'votes': '3/4', 'highest_confidence': 0.9998995065689087}"
5,0,0,"{'votes': '3/4', 'highest_confidence': 0.9999568462371826}"
6,0,0,"{'votes': '5/5', 'highest_confidence': 0.9994410872459412}"
7,0,0,"{'votes': '6/6', 'highest_confidence': 0.9937955141067505}"
8,0,0,"{'votes': '7/7', 'highest_confidence': 0.9999066591262817}"
9,0,0,"{'votes': '6/8', 'highest_confidence': 0.9999582767486572}"
10,0,0,"{'votes': '5/5', 'highest_confidence': 0.978766679763794}"
11,0,1,"{'votes': '4/5', 'highest_confidence': 0.9998871088027954}"
12,0,0,"{'votes': '3/6', 'highest_confidence': 0.9898234009742737}"
13,0,0,"{'votes': '4/4', 'highest_confidence': 1.0}"
14,0,1,"{'votes': '4/5', 'highest_confidence': 0.9870700836181641}"
15,0,0,"{'votes': '2/4', 'highest_confidence': 0.9999927282333374}"
16,0,0,"{'votes': '4/5', 'highest_confidence': 0.8981900215148926}"
17,0,0,"{'votes': '5/6', 'highest_confidence': 0.9966152310371399}"
18,0,0,"{'votes': '1/1', 'highest_confidence': 0.9897380471229553}"
19,0,1,"{'votes': '2/4', 'highest_confidence': 0.9910793900489807}"
20,0,1,"{'votes': '4/4', 'highest_confidence': 0.9989560842514038}"
21,0,1,"{'votes': '4/4', 'highest_confidence': 0.9979357719421387}"
22,0,1,"{'votes': '5/6', 'highest_confidence': 0.9994810223579407}"
23,0,1,"{'votes': '6/6', 'highest_confidence': 0.9998641014099121}"
24,0,1,"{'votes': '3/4', 'highest_confidence': 0.9926643967628479}"
25,0,0,"{'votes': '3/5', 'highest_confidence': 0.998921275138855}"
26,0,1,"{'votes': '3/5', 'highest_confidence': 0.9797037839889526}"
27,0,0,"{'votes': '4/8', 'highest_confidence': 0.999869704246521}"
28,0,1,"{'votes': '6/6', 'highest_confidence': 0.9975700974464417}"
29,0,0,"{'votes': '3/4', 'highest_confidence': 0.8892430663108826}"
30,0,0,"{'votes': '5/5', 'highest_confidence': 0.9999998807907104}"
31,0,0,"{'votes': '6/7', 'highest_confidence': 0.9998661279678345}"
32,0,1,"{'votes': '4/7', 'highest_confidence': 0.999907374382019}"
33,0,1,"{'votes': '6/7', 'highest_confidence': 0.9999586343765259}"
34,0,1,"{'votes': '6/6', 'highest_confidence': 0.9999916553497314}"
35,0,0,"{'votes': '5/5', 'highest_confidence': 0.9987726807594299}"
36,0,0,"{'votes': '4/5', 'highest_confidence': 0.9158225059509277}"
37,0,0,"{'votes': '4/7', 'highest_confidence': 0.9999880790710449}"
38,0,1,"{'votes': '6/6', 'highest_confidence': 0.9993829727172852}"
39,0,1,"{'votes': '3/5', 'highest_confidence': 0.8152351379394531}"
40,0,1,"{'votes': '3/6', 'highest_confidence': 0.9925628304481506}"
