test line,ground,predicted,mvs
0,0,0,{'votes/confidence': 0.9999998807907104}
1,0,0,{'votes/confidence': '4/4'}
2,0,0,{'votes/confidence': '5/5'}
3,0,0,{'votes/confidence': '6/6'}
4,0,0,{'votes/confidence': '7/7'}
5,0,1,{'votes/confidence': '6/8'}
6,0,1,{'votes/confidence': '3/5'}
7,0,0,{'votes/confidence': '4/4'}
8,0,1,{'votes/confidence': '3/5'}
9,0,1,{'votes/confidence': '4/5'}
10,0,1,{'votes/confidence': 0.9999510049819946}
11,0,1,{'votes/confidence': '7/8'}
12,0,0,{'votes/confidence': '3/3'}
13,0,1,{'votes/confidence': '4/6'}
14,0,1,{'votes/confidence': '4/4'}
15,0,1,{'votes/confidence': '5/5'}
16,0,1,{'votes/confidence': '6/6'}
17,0,0,{'votes/confidence': '6/7'}
18,0,1,{'votes/confidence': '7/8'}
19,0,1,{'votes/confidence': '4/7'}
20,0,1,{'votes/confidence': '4/7'}
21,0,1,{'votes/confidence': '5/8'}
22,0,0,{'votes/confidence': '6/6'}
23,0,0,{'votes/confidence': '3/3'}
24,0,1,{'votes/confidence': '4/4'}
25,0,1,{'votes/confidence': '5/5'}
26,0,1,{'votes/confidence': '4/4'}
27,0,1,{'votes/confidence': '5/5'}
28,0,1,{'votes/confidence': '4/4'}
29,0,1,{'votes/confidence': '3/5'}
30,0,0,{'votes/confidence': '3/4'}
31,0,1,{'votes/confidence': '2/2'}
32,0,1,{'votes/confidence': '1/1'}
33,0,0,{'votes/confidence': '3/3'}
34,0,0,{'votes/confidence': 0.999992847442627}
35,0,0,{'votes/confidence': '4/4'}
36,0,1,{'votes/confidence': '3/5'}
37,0,1,{'votes/confidence': '5/5'}
38,0,0,{'votes/confidence': '3/5'}
39,0,0,{'votes/confidence': '4/4'}
40,0,0,{'votes/confidence': '5/5'}
41,0,1,{'votes/confidence': '4/5'}
42,0,1,{'votes/confidence': '3/5'}
43,0,0,{'votes/confidence': '3/5'}
44,0,1,{'votes/confidence': '4/5'}
45,0,0,{'votes/confidence': '5/6'}
46,0,1,{'votes/confidence': '5/6'}
47,0,0,{'votes/confidence': '5/5'}
48,0,0,{'votes/confidence': '5/5'}
49,0,1,{'votes/confidence': '4/4'}
50,0,0,{'votes/confidence': 0.9999996423721313}
51,0,1,{'votes/confidence': '4/7'}
52,0,0,{'votes/confidence': '6/7'}
53,0,0,{'votes/confidence': '1/1'}
54,0,0,{'votes/confidence': '4/4'}
55,0,0,{'votes/confidence': '2/3'}
56,0,1,{'votes/confidence': '4/5'}
57,0,0,{'votes/confidence': '6/6'}
58,0,0,{'votes/confidence': '3/5'}
59,0,1,{'votes/confidence': '4/6'}
60,0,0,{'votes/confidence': '5/7'}
61,0,0,{'votes/confidence': '3/3'}
62,0,0,{'votes/confidence': '7/7'}
63,0,1,{'votes/confidence': '6/8'}
64,0,0,{'votes/confidence': '8/8'}
65,0,0,{'votes/confidence': '7/7'}
66,0,1,{'votes/confidence': '4/7'}
67,0,0,{'votes/confidence': 0.999980092048645}
68,0,1,{'votes/confidence': '4/5'}
69,0,0,{'votes/confidence': '4/5'}
70,0,0,{'votes/confidence': '2/3'}
71,0,1,{'votes/confidence': '4/6'}
72,0,1,{'votes/confidence': '4/6'}
73,0,0,{'votes/confidence': '5/6'}
74,0,0,{'votes/confidence': '6/6'}
75,0,1,{'votes/confidence': '3/5'}
76,0,1,{'votes/confidence': 0.99888676404953}
77,0,1,{'votes/confidence': '3/3'}
78,0,1,{'votes/confidence': '3/5'}
79,0,0,{'votes/confidence': '3/5'}
80,0,1,{'votes/confidence': '6/6'}
81,0,1,{'votes/confidence': '4/6'}
82,0,1,{'votes/confidence': '3/5'}
83,0,1,{'votes/confidence': '4/6'}
84,0,0,{'votes/confidence': 0.9985894560813904}
85,0,0,{'votes/confidence': '4/6'}
86,0,0,{'votes/confidence': '6/6'}
87,0,0,{'votes/confidence': '6/6'}
88,0,0,{'votes/confidence': '6/6'}
89,0,1,{'votes/confidence': '3/4'}
90,0,1,{'votes/confidence': '3/5'}
91,0,0,{'votes/confidence': '5/5'}
92,0,0,{'votes/confidence': '4/4'}
93,0,1,{'votes/confidence': '4/6'}
94,0,0,{'votes/confidence': '4/5'}
95,0,0,{'votes/confidence': '5/6'}
96,0,0,{'votes/confidence': '3/4'}
97,0,1,{'votes/confidence': '3/5'}
98,0,0,{'votes/confidence': 0.9989425539970398}
99,0,1,{'votes/confidence': '4/5'}
100,0,0,{'votes/confidence': '4/7'}
101,0,0,{'votes/confidence': '6/6'}
102,0,1,{'votes/confidence': '6/7'}
103,0,0,{'votes/confidence': '1/1'}
104,0,0,{'votes/confidence': '4/5'}
105,0,0,{'votes/confidence': '4/6'}
106,0,0,{'votes/confidence': 0.9995922446250916}
107,0,0,{'votes/confidence': '4/4'}
108,0,1,{'votes/confidence': '3/4'}
109,0,0,{'votes/confidence': '4/6'}
110,0,0,{'votes/confidence': '6/6'}
111,0,0,{'votes/confidence': '3/3'}
112,0,1,{'votes/confidence': '3/5'}
113,0,0,{'votes/confidence': '3/5'}
114,0,0,{'votes/confidence': '5/6'}
115,0,0,{'votes/confidence': '3/5'}
116,0,0,{'votes/confidence': '5/5'}
117,0,0,{'votes/confidence': '3/5'}
118,0,0,{'votes/confidence': '5/6'}
119,0,1,{'votes/confidence': '5/7'}
120,0,1,{'votes/confidence': '5/5'}
121,0,0,{'votes/confidence': '3/3'}
122,0,1,{'votes/confidence': '5/6'}
123,0,0,{'votes/confidence': '4/5'}
124,0,0,{'votes/confidence': '4/5'}
125,0,1,{'votes/confidence': '3/4'}
126,0,1,{'votes/confidence': '4/4'}
127,0,1,{'votes/confidence': '4/6'}
128,0,1,{'votes/confidence': '7/7'}
129,0,1,{'votes/confidence': '4/4'}
130,0,1,{'votes/confidence': '4/6'}
131,0,1,{'votes/confidence': '5/5'}
132,0,0,{'votes/confidence': '4/7'}
133,0,0,{'votes/confidence': '6/6'}
134,0,1,{'votes/confidence': '4/6'}
135,0,0,{'votes/confidence': '4/6'}
136,0,0,{'votes/confidence': '4/4'}
137,0,0,{'votes/confidence': 0.9999047517776489}
138,0,0,{'votes/confidence': '6/6'}
139,0,1,{'votes/confidence': '4/5'}
140,0,0,{'votes/confidence': '5/7'}
141,0,1,{'votes/confidence': 0.9999998807907104}
142,0,1,{'votes/confidence': '5/7'}
143,0,0,{'votes/confidence': '4/6'}
144,0,0,{'votes/confidence': '3/5'}
145,0,0,{'votes/confidence': '5/5'}
146,0,1,{'votes/confidence': '4/5'}
147,0,1,{'votes/confidence': '4/5'}
148,0,0,{'votes/confidence': '6/6'}
149,0,0,{'votes/confidence': 0.9999988079071045}
150,0,0,{'votes/confidence': '3/4'}
151,0,0,{'votes/confidence': '4/4'}
152,0,0,{'votes/confidence': '3/5'}
153,0,0,{'votes/confidence': '5/5'}
154,0,1,{'votes/confidence': '6/6'}
155,0,1,{'votes/confidence': '4/6'}
156,0,1,{'votes/confidence': '4/7'}
157,0,1,{'votes/confidence': '5/6'}
158,0,0,{'votes/confidence': '6/8'}
159,0,1,{'votes/confidence': '4/6'}
160,0,1,{'votes/confidence': '4/6'}
161,0,1,{'votes/confidence': '6/7'}
162,0,0,{'votes/confidence': '5/5'}
163,0,0,{'votes/confidence': '7/7'}
164,0,0,{'votes/confidence': '3/5'}
165,0,0,{'votes/confidence': '5/6'}
166,0,1,{'votes/confidence': '3/5'}
167,0,0,{'votes/confidence': 0.9962540864944458}
168,0,1,{'votes/confidence': '3/5'}
169,0,1,{'votes/confidence': '5/7'}
170,0,0,{'votes/confidence': '4/5'}
171,0,0,{'votes/confidence': '4/7'}
172,0,1,{'votes/confidence': '4/4'}
173,0,1,{'votes/confidence': '4/7'}
174,0,1,{'votes/confidence': '4/7'}
175,0,1,{'votes/confidence': 0.9998055100440979}
176,0,1,{'votes/confidence': '4/6'}
177,0,0,{'votes/confidence': '6/6'}
178,0,1,{'votes/confidence': '4/4'}
179,0,1,{'votes/confidence': '4/5'}
180,0,0,{'votes/confidence': '3/5'}
181,0,0,{'votes/confidence': '7/8'}
182,0,0,{'votes/confidence': '5/5'}
183,0,1,{'votes/confidence': '4/4'}
184,0,1,{'votes/confidence': '5/6'}
185,0,1,{'votes/confidence': '4/6'}
186,0,0,{'votes/confidence': '5/6'}
187,0,0,{'votes/confidence': '6/6'}
188,0,1,{'votes/confidence': '1/1'}
189,0,1,{'votes/confidence': '5/6'}
190,0,0,{'votes/confidence': '3/5'}
191,0,1,{'votes/confidence': '5/7'}
192,0,0,{'votes/confidence': '4/7'}
193,0,0,{'votes/confidence': '4/5'}
194,0,1,{'votes/confidence': '4/4'}
195,0,0,{'votes/confidence': '5/6'}
196,0,1,{'votes/confidence': '4/5'}
197,0,1,{'votes/confidence': '4/6'}
198,0,1,{'votes/confidence': '4/5'}
199,0,0,{'votes/confidence': '4/4'}
200,0,0,{'votes/confidence': '4/4'}
201,0,0,{'votes/confidence': '3/4'}
202,0,0,{'votes/confidence': '4/4'}
203,0,0,{'votes/confidence': '4/4'}
204,0,0,{'votes/confidence': '4/5'}
205,0,0,{'votes/confidence': 0.9999995231628418}
206,0,1,{'votes/confidence': '2/3'}
207,0,1,{'votes/confidence': '6/6'}
208,0,1,{'votes/confidence': '3/3'}
209,0,1,{'votes/confidence': 1.0}
210,0,1,{'votes/confidence': '4/6'}
211,0,1,{'votes/confidence': '8/8'}
212,0,0,{'votes/confidence': '1/1'}
213,0,0,{'votes/confidence': '5/7'}
214,0,1,{'votes/confidence': '5/7'}
215,0,0,{'votes/confidence': '6/8'}
216,0,0,{'votes/confidence': '2/2'}
217,0,0,{'votes/confidence': '5/5'}
218,0,0,{'votes/confidence': '4/4'}
219,0,0,{'votes/confidence': '4/4'}
220,0,1,{'votes/confidence': '3/4'}
221,0,1,{'votes/confidence': '3/5'}
222,0,0,{'votes/confidence': '3/5'}
223,0,0,{'votes/confidence': 0.996580183506012}
224,0,1,{'votes/confidence': '6/6'}
225,0,1,{'votes/confidence': '3/5'}
226,0,0,{'votes/confidence': '5/5'}
227,0,0,{'votes/confidence': '4/5'}
228,0,1,{'votes/confidence': '5/7'}
229,0,0,{'votes/confidence': '4/5'}
230,0,0,{'votes/confidence': '4/5'}
231,0,0,{'votes/confidence': '4/5'}
232,0,0,{'votes/confidence': '5/5'}
233,0,0,{'votes/confidence': 0.9999998807907104}
234,0,1,{'votes/confidence': '5/6'}
235,0,0,{'votes/confidence': '4/6'}
236,0,0,{'votes/confidence': '4/4'}
237,0,0,{'votes/confidence': '4/4'}
238,0,0,{'votes/confidence': '4/4'}
239,0,0,{'votes/confidence': 1.0}
240,0,0,{'votes/confidence': '6/6'}
241,0,0,{'votes/confidence': '4/4'}
242,0,1,{'votes/confidence': '5/6'}
243,0,0,{'votes/confidence': '1/1'}
244,0,0,{'votes/confidence': '3/4'}
245,0,0,{'votes/confidence': '6/8'}
246,0,1,{'votes/confidence': '3/5'}
247,0,1,{'votes/confidence': '4/4'}
248,0,0,{'votes/confidence': '4/5'}
249,0,1,{'votes/confidence': '7/7'}
250,1,0,{'votes/confidence': '5/6'}
251,1,1,{'votes/confidence': '5/5'}
252,1,1,{'votes/confidence': '7/7'}
253,1,0,{'votes/confidence': '4/6'}
254,1,0,{'votes/confidence': '6/6'}
255,1,0,{'votes/confidence': '3/5'}
256,1,0,{'votes/confidence': '4/5'}
257,1,1,{'votes/confidence': '6/6'}
258,1,1,{'votes/confidence': '7/7'}
259,1,0,{'votes/confidence': '6/7'}
260,1,0,{'votes/confidence': '4/5'}
261,1,1,{'votes/confidence': '7/7'}
262,1,1,{'votes/confidence': '5/6'}
263,1,1,{'votes/confidence': '6/6'}
264,1,1,{'votes/confidence': '5/5'}
265,1,1,{'votes/confidence': '6/6'}
266,1,1,{'votes/confidence': '5/5'}
267,1,1,{'votes/confidence': '5/5'}
268,1,1,{'votes/confidence': '7/7'}
269,1,1,{'votes/confidence': 1.0}
270,1,1,{'votes/confidence': '6/6'}
271,1,1,{'votes/confidence': '5/5'}
272,1,0,{'votes/confidence': '4/6'}
273,1,0,{'votes/confidence': '4/6'}
274,1,1,{'votes/confidence': '6/6'}
275,1,1,{'votes/confidence': '5/5'}
276,1,1,{'votes/confidence': '4/4'}
277,1,1,{'votes/confidence': '5/5'}
278,1,0,{'votes/confidence': '4/5'}
279,1,1,{'votes/confidence': '6/6'}
280,1,1,{'votes/confidence': '5/6'}
281,1,0,{'votes/confidence': '5/6'}
282,1,1,{'votes/confidence': '7/7'}
283,1,1,{'votes/confidence': '4/4'}
284,1,1,{'votes/confidence': '2/2'}
285,1,1,{'votes/confidence': '4/4'}
286,1,1,{'votes/confidence': '4/5'}
287,1,1,{'votes/confidence': '4/6'}
288,1,1,{'votes/confidence': '6/6'}
289,1,1,{'votes/confidence': '5/5'}
290,1,1,{'votes/confidence': '4/4'}
291,1,1,{'votes/confidence': '3/5'}
292,1,1,{'votes/confidence': '2/2'}
293,1,1,{'votes/confidence': '4/4'}
294,1,0,{'votes/confidence': '4/5'}
295,1,0,{'votes/confidence': '4/5'}
296,1,1,{'votes/confidence': '3/3'}
297,1,1,{'votes/confidence': '7/7'}
298,1,1,{'votes/confidence': '4/4'}
299,1,1,{'votes/confidence': '6/6'}
300,1,1,{'votes/confidence': '6/6'}
301,1,1,{'votes/confidence': '3/3'}
302,1,1,{'votes/confidence': '6/6'}
303,1,1,{'votes/confidence': '3/5'}
304,1,1,{'votes/confidence': '6/6'}
305,1,1,{'votes/confidence': '7/7'}
306,1,0,{'votes/confidence': '7/8'}
307,1,1,{'votes/confidence': '8/8'}
308,1,1,{'votes/confidence': 1.0}
