test_line,null_predicted,alt_predicted
1,0,0
2,1,0
3,1,0
4,0,1
5,1,0
6,0,1
7,0,1
8,0,0
9,1,1
10,0,1
11,0,0
12,1,0
13,0,0
14,1,0
15,0,1
16,0,0
17,0,0
18,0,0
19,1,1
20,1,0
21,1,1
22,1,0
23,1,1
24,1,0
25,0,0
26,0,0
27,1,1
28,0,0
29,0,0
30,0,0
31,1,0
32,0,1
33,0,0
34,1,1
35,0,0
36,1,1
37,1,1
38,1,0
39,0,0
40,1,1
41,1,0
42,1,0
43,1,0
44,1,0
45,0,0
46,0,0
47,0,1
48,0,0
49,1,1
50,1,1
51,1,1
52,1,0
53,0,1
54,1,1
55,1,0
56,0,1
57,0,0
58,0,0
59,1,1
60,0,1
61,1,1
62,1,0
63,1,1
64,1,0
65,1,1
66,1,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,1,0
73,0,0
74,0,0
75,1,0
76,1,1
77,1,1
78,1,1
79,0,1
80,0,1
81,1,0
82,0,1
83,0,0
84,1,0
85,0,0
86,0,0
87,0,1
88,0,1
89,0,0
90,0,0
91,1,1
92,1,0
93,0,0
94,1,1
95,1,0
96,1,0
97,1,0
98,1,1
99,0,0
100,0,0
101,0,1
102,1,1
103,0,1
104,1,0
105,1,0
106,1,1
107,1,0
108,0,1
109,1,0
110,0,0
111,0,0
112,0,0
113,1,1
114,1,0
115,1,0
116,1,1
117,0,0
118,1,1
119,0,0
120,0,0
121,0,0
122,1,0
123,0,0
124,1,1
125,1,0
126,1,0
127,0,0
128,0,0
129,1,0
130,1,0
131,0,1
132,0,1
133,1,0
134,0,0
135,0,1
136,0,0
137,0,0
138,0,0
139,0,0
140,0,1
141,1,0
142,1,0
143,0,0
144,0,0
145,1,0
146,1,0
147,0,1
148,0,1
149,0,0
150,1,0
151,0,1
152,0,0
153,0,0
154,0,0
155,1,1
156,1,0
157,0,1
158,1,0
159,1,1
160,1,1
161,1,1
162,1,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,1
171,0,0
172,0,0
173,0,0
174,1,1
175,1,0
176,0,0
177,0,1
178,0,1
179,0,1
180,0,0
181,0,0
182,0,1
183,1,0
184,0,0
185,1,0
186,1,1
187,1,0
188,0,0
189,1,1
190,1,1
191,1,0
192,1,0
193,0,0
194,1,0
195,1,1
196,1,1
197,0,0
198,1,1
199,0,0
200,0,0
201,1,0
202,1,0
203,0,1
204,0,1
205,0,0
206,0,0
207,1,1
208,1,1
209,0,0
210,1,0
211,0,0
212,1,0
213,1,0
214,0,0
215,0,0
216,0,0
217,1,1
218,0,0
219,0,0
220,1,1
221,0,1
222,0,1
223,0,1
224,1,0
225,0,1
226,1,1
227,0,0
228,0,0
229,0,0
230,0,0
231,1,1
232,0,0
233,0,1
234,0,0
235,1,0
236,0,0
237,0,0
238,0,0
239,1,0
240,0,1
241,1,1
242,0,0
243,0,1
244,0,1
245,1,0
246,1,0
247,0,0
248,1,0
249,1,0
250,0,0
251,1,1
252,0,1
253,0,0
254,1,0
255,1,0
256,1,0
257,1,1
258,0,0
259,0,1
260,0,1
261,0,0
262,1,0
263,1,1
264,1,1
265,0,0
266,0,1
267,0,0
268,0,1
269,0,0
270,0,1
271,0,0
272,0,1
273,1,1
274,0,0
275,0,1
276,0,1
277,0,1
278,1,1
279,0,1
280,0,1
281,0,1
282,1,1
283,1,0
284,1,0
285,0,1
286,1,1
287,1,0
288,1,0
289,0,1
290,0,1
291,1,1
292,0,1
293,0,0
294,0,0
295,1,1
296,1,1
297,0,0
298,1,1
299,0,1
300,1,0
301,1,0
302,0,1
303,0,0
304,0,1
305,1,0
306,0,1
307,1,1
308,0,0
309,0,0
310,1,0
311,0,0
312,0,0
313,0,0
314,1,0
315,0,0
316,0,1
317,0,0
318,1,0
319,1,1
320,0,0
321,1,0
322,0,0
323,0,1
324,1,0
325,1,0
326,0,0
327,1,1
328,1,1
329,0,1
330,1,0
331,0,1
332,0,0
333,0,1
334,0,0
335,0,0
336,1,1
337,0,0
338,0,1
339,0,1
340,0,1
341,0,0
342,0,1
343,0,0
344,0,0
345,1,1
346,1,0
347,0,0
348,0,1
349,0,1
350,1,0
351,1,1
352,1,1
353,0,1
354,0,0
355,0,1
356,0,0
357,0,1
358,0,0
359,0,1
360,1,0
361,0,0
362,1,1
363,0,0
364,0,0
365,1,0
366,1,0
367,1,1
368,1,1
369,0,1
370,0,1
371,0,0
372,0,1
373,1,1
374,1,0
375,0,0
376,0,0
377,0,0
378,0,0
379,1,0
380,1,1
381,1,0
382,0,1
383,0,0
384,0,0
385,0,1
386,1,0
387,1,0
388,0,0
389,0,0
390,1,1
391,1,0
392,0,0
393,0,0
394,1,0
395,1,0
396,1,0
397,1,0
398,1,1
399,1,1
400,0,1
401,1,0
402,1,1
403,0,0
404,0,0
405,1,1
406,1,1
407,0,0
408,0,0
409,0,1
410,0,0
411,1,1
412,0,1
413,1,1
414,0,1
415,0,0
416,0,0
417,0,0
418,0,0
419,1,0
420,1,1
421,1,1
422,0,1
423,0,1
424,1,0
425,0,0
426,0,0
427,0,1
428,0,0
429,0,0
430,1,0
431,0,0
432,0,0
433,0,1
434,0,1
435,0,0
436,1,0
437,1,1
438,0,1
439,0,0
440,0,0
441,0,0
442,0,1
443,0,0
444,1,1
445,1,1
446,0,1
447,1,0
448,0,0
449,0,1
450,0,1
451,1,0
452,1,1
453,1,1
454,1,0
455,1,0
456,1,1
457,0,1
458,1,1
459,0,0
460,0,0
461,1,0
462,1,1
463,0,0
464,1,0
465,1,0
466,1,1
467,1,0
468,0,0
469,1,0
