test_line,null_predicted,alt_predicted
1,3,2
2,3,2
3,1,3
4,2,1
5,2,0
6,3,2
7,0,2
8,2,2
9,3,3
10,3,0
11,0,0
12,2,2
13,2,1
14,3,1
15,0,3
16,2,3
17,2,2
18,0,3
19,2,2
20,2,3
21,3,0
22,0,3
23,3,2
24,3,2
25,2,0
26,2,2
27,0,3
28,3,2
29,3,2
30,2,3
31,0,3
32,1,0
33,0,1
34,0,3
35,2,3
36,3,0
37,2,0
38,1,3
39,1,0
40,0,0
41,2,1
42,3,0
43,2,0
44,3,1
45,1,1
46,2,0
47,2,0
48,2,0
49,1,2
50,3,3
51,3,2
52,0,0
53,0,0
54,0,0
55,3,1
56,3,1
57,1,3
58,1,3
59,3,3
60,3,1
61,3,0
62,1,1
63,2,2
64,2,0
65,2,3
66,3,3
67,3,3
68,2,2
69,3,3
70,2,3
71,2,2
72,2,0
73,2,1
74,2,0
75,0,2
76,3,0
77,0,3
78,2,0
79,0,3
80,2,2
81,3,2
82,3,0
83,0,3
84,1,2
85,1,2
86,0,0
87,2,0
88,2,1
89,3,1
90,1,1
91,2,3
92,2,0
93,2,3
94,2,0
95,3,3
96,0,2
97,1,2
98,2,3
99,0,2
100,0,2
101,3,0
102,2,2
103,0,2
104,0,2
105,2,0
106,2,3
107,3,2
108,0,3
109,1,3
110,3,0
111,0,3
112,0,0
113,3,2
114,0,2
115,2,0
116,2,2
117,2,0
118,3,2
119,2,2
120,1,1
121,0,1
122,3,3
123,2,2
124,0,0
125,0,2
126,0,2
127,3,0
128,0,2
129,3,1
130,1,2
131,2,2
132,2,1
133,1,3
134,2,0
135,0,0
136,0,3
137,0,0
138,1,2
139,2,1
140,2,0
141,2,1
142,3,1
143,3,2
144,3,3
145,1,2
146,1,1
147,3,2
148,3,2
149,0,0
150,2,1
151,1,3
152,3,1
153,2,1
154,2,3
155,1,1
156,1,1
157,1,0
158,1,1
159,1,3
160,3,1
161,3,2
162,3,3
163,1,1
164,1,1
165,3,0
166,3,3
167,1,1
168,2,2
169,0,0
170,3,2
171,1,1
172,3,3
173,3,2
174,1,2
175,1,1
176,1,1
177,2,3
178,2,2
179,1,0
180,0,0
181,2,1
182,3,3
183,2,2
184,2,0
185,3,1
186,0,0
187,2,2
188,1,1
189,1,2
190,2,0
191,2,2
192,3,3
193,1,1
194,1,3
195,1,0
196,0,1
197,3,0
198,0,1
199,3,1
200,1,1
201,1,0
202,2,2
203,1,0
204,1,1
205,2,0
206,3,3
207,0,3
208,2,1
209,3,1
210,3,0
211,1,1
212,0,0
213,0,1
214,3,3
