test_line,null_predicted,alt_predicted
1,2,0
2,2,0
3,3,0
4,1,1
5,0,2
6,2,2
7,2,2
8,2,2
9,3,0
10,0,0
11,0,2
12,2,3
13,1,0
14,1,0
15,3,3
16,3,0
17,2,0
18,3,2
19,2,0
20,3,3
21,0,3
22,3,2
23,2,2
24,2,3
25,0,0
26,2,2
27,3,3
28,2,3
29,2,3
30,3,0
31,3,0
32,0,0
33,1,0
34,3,1
35,3,1
36,0,2
37,0,0
38,3,2
39,0,2
40,0,3
41,1,0
42,0,1
43,0,0
44,1,1
45,1,0
46,0,3
47,0,1
48,0,2
49,2,0
50,3,0
51,2,0
52,0,0
53,0,0
54,0,0
55,1,3
56,1,3
57,3,3
58,3,0
59,3,3
60,1,0
61,0,2
62,1,3
63,2,2
64,0,1
65,3,0
66,3,0
67,3,2
68,2,3
69,3,2
70,3,3
71,2,3
72,0,2
73,1,3
74,0,0
75,2,0
76,0,3
77,3,0
78,0,3
79,3,3
80,2,1
81,2,3
82,0,0
83,3,0
84,2,3
85,2,2
86,0,3
87,0,0
88,1,0
89,1,0
90,1,3
91,3,0
92,0,2
93,3,2
94,0,2
95,3,0
96,2,0
97,2,1
98,3,3
99,2,2
100,2,0
101,0,2
102,2,1
103,2,2
104,2,0
105,0,0
106,3,2
107,2,1
108,3,1
109,3,2
110,0,3
111,3,3
112,0,0
113,2,1
114,2,0
115,0,2
116,2,3
117,0,0
118,2,2
119,2,0
120,1,1
121,1,0
122,3,0
123,2,2
124,0,2
125,2,1
126,2,3
127,0,3
128,2,2
129,1,1
130,2,2
131,2,3
132,1,2
133,3,3
134,0,2
135,0,0
136,3,0
137,0,2
138,2,2
139,1,0
140,0,3
141,1,2
142,1,1
143,2,3
144,3,1
145,2,1
146,1,2
147,2,2
148,2,0
149,0,3
150,1,1
151,3,1
152,1,3
153,1,3
154,3,2
155,1,2
156,1,3
157,0,1
158,1,2
159,3,3
160,1,2
161,2,2
162,3,2
163,1,3
164,1,3
165,0,1
166,3,3
167,1,3
168,2,2
169,0,1
170,2,1
171,1,1
172,3,3
173,2,1
174,2,3
175,1,3
176,1,1
177,3,2
178,2,3
179,0,3
180,0,0
181,1,3
182,3,3
183,2,0
184,0,0
185,1,0
186,0,0
187,2,2
188,1,3
189,2,3
190,0,2
191,2,2
192,3,1
193,1,1
194,3,2
195,0,3
196,1,0
197,0,1
198,1,3
199,1,0
200,1,3
201,0,0
202,2,2
203,0,2
204,1,1
205,0,1
206,3,3
207,3,2
208,1,0
209,1,3
210,0,2
211,1,0
212,0,0
213,1,0
214,3,3
215,1,2
216,1,1
217,1,1
218,1,1
219,2,2
220,1,1
221,2,3
222,3,3
223,3,3
224,2,1
225,1,0
226,0,0
227,1,0
228,1,2
229,3,3
230,1,2
231,3,3
232,1,0
233,0,0
234,0,3
235,0,2
236,1,3
237,1,1
238,3,0
239,2,0
240,0,2
241,2,0
