test_line,null_predicted,alt_predicted
1,0,0
2,0,0
3,1,0
4,1,1
5,1,0
6,0,1
7,1,1
8,0,0
9,0,1
10,1,1
11,1,0
12,0,0
13,0,0
14,1,0
15,0,1
16,0,0
17,0,0
18,1,0
19,1,1
20,1,0
21,0,1
22,0,0
23,0,1
24,1,0
25,1,0
26,0,0
27,0,1
28,0,0
29,1,0
30,1,0
31,1,0
32,0,1
33,0,0
34,0,1
35,1,0
36,1,1
37,0,1
38,1,0
39,0,0
40,0,1
41,0,0
42,1,0
43,0,0
44,0,0
45,0,0
46,1,0
47,1,1
48,0,0
49,1,1
50,0,1
51,1,1
52,1,0
53,0,1
54,0,1
55,0,0
56,1,1
57,0,0
58,1,0
59,1,1
60,1,1
61,1,1
62,0,0
63,0,1
64,0,0
65,1,1
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,1
77,0,1
78,1,1
79,1,1
80,1,1
81,1,0
82,0,1
83,0,0
84,0,0
85,0,0
86,1,0
87,1,1
88,1,1
89,0,0
90,0,0
91,0,1
92,0,0
93,0,0
94,0,1
95,0,0
96,0,0
97,1,0
98,0,1
99,1,0
100,0,0
101,0,1
102,0,1
103,1,1
104,1,0
105,1,0
106,0,1
107,0,0
108,1,1
109,0,0
110,0,0
111,1,0
112,0,0
113,0,1
114,0,0
115,1,0
116,0,1
117,0,0
118,0,1
119,0,0
120,0,0
121,0,0
122,1,0
123,0,0
124,0,1
125,1,0
126,0,0
127,0,0
128,0,0
129,0,0
130,1,0
131,0,1
132,0,1
133,0,0
134,0,0
135,1,1
136,0,0
137,0,0
138,0,0
139,1,0
140,0,1
141,1,0
142,0,0
143,1,0
144,1,0
145,0,0
146,1,0
147,1,1
148,0,1
149,1,0
150,0,0
151,1,1
152,0,0
153,0,0
154,0,0
155,0,1
156,1,0
157,1,1
158,1,0
159,1,1
160,0,1
161,1,1
162,0,0
163,0,0
164,0,0
165,0,0
166,1,0
167,0,0
168,1,0
169,0,0
170,0,1
171,1,0
172,1,0
173,0,0
174,0,1
175,1,0
176,1,0
177,0,1
178,0,1
179,0,1
180,0,0
181,0,0
182,0,1
183,1,0
184,1,0
185,0,0
186,1,1
187,0,0
188,1,0
189,1,1
190,0,1
191,0,0
192,0,0
193,0,0
194,1,0
195,0,1
196,1,1
197,0,0
198,1,1
199,0,0
200,1,0
201,1,0
202,0,0
203,0,1
204,1,1
205,1,0
206,0,0
207,1,1
208,0,1
209,0,0
210,0,0
211,1,0
212,0,0
213,1,0
214,1,0
215,0,0
216,0,0
217,0,1
218,1,0
219,0,0
220,1,1
221,1,1
222,0,1
223,0,1
224,1,0
225,0,1
226,1,1
227,1,0
228,0,0
229,0,0
230,1,0
231,1,1
232,0,0
233,0,1
234,0,0
235,1,0
236,0,0
237,0,0
238,1,0
239,1,0
240,0,1
241,0,1
242,0,0
243,0,1
244,0,1
245,0,0
